GBP/CHF
Date,Open Price,High Price,Low Price,Close Price
2023-09-22,1.11212,1.11230,1.10825,1.11009
2023-09-21,1.10892,1.11677,1.10667,1.11140
2023-09-20,1.11188,1.11273,1.10678,1.10880
2023-09-19,1.11075,1.11344,1.10833,1.11157
2023-09-18,1.11041,1.11242,1.10817,1.11080
2023-09-15,1.11087,1.11436,1.10960,1.11113
2023-09-14,1.11553,1.11639,1.10874,1.11085
2023-09-13,1.11283,1.11621,1.10936,1.11576
2023-09-12,1.11413,1.11678,1.11090,1.11269
2023-09-11,1.11166,1.11813,1.11160,1.11434
2023-09-08,1.11278,1.11476,1.11082,1.11285
2023-09-07,1.11396,1.11515,1.11062,1.11287
2023-09-06,1.11677,1.11901,1.11311,1.11373
2023-09-05,1.11604,1.11870,1.11226,1.11712
2023-09-04,1.11453,1.11772,1.11383,1.11630
2023-09-01,1.11903,1.11979,1.11357,1.11431
2023-08-31,1.11693,1.12073,1.11564,1.11883
2023-08-30,1.11067,1.11763,1.10930,1.11650
2023-08-29,1.11298,1.11652,1.10835,1.11044
2023-08-28,1.11170,1.11428,1.11025,1.11295
2023-08-25,1.11373,1.11728,1.11152,1.11211
2023-08-24,1.11582,1.11790,1.11267,1.11414
2023-08-23,1.12050,1.12214,1.11113,1.11642
2023-08-22,1.12023,1.12310,1.11898,1.12024
2023-08-21,1.12225,1.12428,1.11806,1.12027
2023-08-18,1.11898,1.12434,1.11690,1.12225
2023-08-17,1.11982,1.12200,1.11671,1.11912
2023-08-16,1.11503,1.12184,1.11440,1.11991
2023-08-15,1.11381,1.11793,1.11161,1.11470
2023-08-14,1.11191,1.11527,1.11037,1.11385
2023-08-11,1.11040,1.11490,1.11006,1.11288
2023-08-10,1.11489,1.11644,1.10965,1.11039
2023-08-09,1.11537,1.11755,1.11374,1.11498
2023-08-08,1.11529,1.11660,1.11228,1.11451
2023-08-07,1.11148,1.11762,1.11133,1.11540
2023-08-04,1.11078,1.11553,1.11047,1.11236
2023-08-03,1.11504,1.11711,1.10527,1.11074
2023-08-02,1.11450,1.12353,1.11249,1.11506
2023-08-01,1.11788,1.12290,1.11357,1.11471
2023-07-31,1.11737,1.12185,1.11445,1.11689
2023-07-28,1.11100,1.11933,1.10931,1.11787
2023-07-27,1.11355,1.11786,1.10846,1.11126
2023-07-26,1.11386,1.11603,1.11059,1.11374
2023-07-25,1.11481,1.11748,1.11158,1.11380
2023-07-24,1.11169,1.11595,1.10870,1.11481
2023-07-21,1.11425,1.11715,1.10813,1.11234
2023-07-20,1.11074,1.11633,1.10602,1.11427
2023-07-19,1.11768,1.11820,1.10570,1.11074
2023-07-18,1.12423,1.12580,1.11682,1.11770
2023-07-17,1.12798,1.12940,1.12223,1.12421
2023-07-14,1.12771,1.13055,1.12383,1.12796
2023-07-13,1.12560,1.12930,1.12271,1.12718
2023-07-12,1.13661,1.13847,1.12476,1.12561
2023-07-11,1.13821,1.14017,1.13496,1.13670
2023-07-10,1.13997,1.14158,1.13562,1.13813
2023-07-07,1.14014,1.14427,1.13953,1.14046
2023-07-06,1.14101,1.14530,1.13777,1.14018
2023-07-05,1.13956,1.14260,1.13907,1.14087
2023-07-04,1.13676,1.14123,1.13579,1.14031
2023-07-03,1.13498,1.14082,1.13498,1.13682
2023-06-30,1.13360,1.14051,1.13331,1.13677
2023-06-29,1.13252,1.13553,1.13127,1.13359
2023-06-28,1.13840,1.14023,1.13132,1.13245
2023-06-27,1.13768,1.14328,1.13653,1.13845
2023-06-26,1.13928,1.14134,1.13170,1.13780
2023-06-23,1.13976,1.14520,1.13780,1.14055
2023-06-22,1.13988,1.14621,1.13554,1.13985
2023-06-21,1.14550,1.15048,1.13774,1.13986
2023-06-20,1.14578,1.14880,1.14210,1.14553
2023-06-19,1.14579,1.14869,1.14414,1.14596
2023-06-16,1.13930,1.14723,1.13860,1.14587
2023-06-15,1.14004,1.14530,1.13726,1.13925
2023-06-14,1.14056,1.14283,1.13775,1.14003
2023-06-13,1.13641,1.14293,1.13491,1.14093
