GBP/EUR
Date,Open Price,High Price,Low Price,Close Price
2023-09-22,1.15296,1.15433,1.15050,1.15115
2023-09-21,1.15720,1.15900,1.15010,1.15290
2023-09-20,1.15990,1.16050,1.15430,1.15714
2023-09-19,1.15814,1.16064,1.15750,1.16012
2023-09-18,1.16112,1.16285,1.15780,1.15813
2023-09-15,1.16550,1.16686,1.16020,1.16100
2023-09-14,1.16343,1.16637,1.16040,1.16553
2023-09-13,1.16090,1.16400,1.15840,1.16351
2023-09-12,1.16330,1.16609,1.16030,1.16040
2023-09-11,1.16390,1.16838,1.16310,1.16349
2023-09-08,1.16569,1.16688,1.16330,1.16460
2023-09-07,1.16540,1.16640,1.16220,1.16565
2023-09-06,1.17160,1.17235,1.16520,1.16565
2023-09-05,1.16940,1.17310,1.16560,1.17170
2023-09-04,1.16810,1.17040,1.16770,1.16943
2023-09-01,1.16837,1.16976,1.16600,1.16790
2023-08-31,1.16370,1.16872,1.16250,1.16827
2023-08-30,1.16180,1.16482,1.16090,1.16390
2023-08-29,1.16447,1.16722,1.16090,1.16199
2023-08-28,1.16490,1.16618,1.16250,1.16414
2023-08-25,1.16524,1.16807,1.16440,1.16480
2023-08-24,1.17030,1.17105,1.16470,1.16516
2023-08-23,1.17350,1.17723,1.16700,1.17060
2023-08-22,1.17030,1.17445,1.16970,1.17319
2023-08-21,1.17040,1.17178,1.16740,1.17030
2023-08-18,1.17180,1.17251,1.16800,1.17040
2023-08-17,1.16950,1.17317,1.16820,1.17220
2023-08-16,1.16450,1.17008,1.16320,1.16934
2023-08-15,1.16290,1.16617,1.16100,1.16452
2023-08-14,1.15920,1.16330,1.15800,1.16282
2023-08-11,1.15375,1.16021,1.15300,1.15930
2023-08-10,1.15829,1.15904,1.15360,1.15390
2023-08-09,1.16270,1.16409,1.15760,1.15820
2023-08-08,1.16166,1.16356,1.15900,1.16270
2023-08-07,1.15750,1.16195,1.15730,1.16100
2023-08-04,1.16040,1.16252,1.15580,1.15760
2023-08-03,1.16166,1.16309,1.15500,1.16050
2023-08-02,1.16146,1.16471,1.15840,1.16170
2023-08-01,1.16705,1.16937,1.16030,1.16030
2023-07-31,1.16572,1.16859,1.16360,1.16680
2023-07-28,1.16542,1.16951,1.16380,1.16580
2023-07-27,1.16683,1.17017,1.16240,1.16540
2023-07-26,1.16650,1.16797,1.16420,1.16722
2023-07-25,1.15845,1.16741,1.15740,1.16638
2023-07-24,1.15440,1.16001,1.15430,1.15840
2023-07-21,1.15567,1.15792,1.15160,1.15470
2023-07-20,1.15460,1.15604,1.14920,1.15520
2023-07-19,1.16077,1.16102,1.14890,1.15476
2023-07-18,1.16307,1.16573,1.16030,1.16060
2023-07-17,1.16593,1.16656,1.16260,1.16290
2023-07-14,1.16954,1.16999,1.16540,1.16560
2023-07-13,1.16653,1.17152,1.16580,1.16940
2023-07-12,1.17437,1.17560,1.16560,1.16650
2023-07-11,1.16858,1.17577,1.16760,1.17420
2023-07-10,1.16989,1.17064,1.16450,1.16850
2023-07-07,1.16948,1.17272,1.16860,1.17020
2023-07-06,1.16985,1.17348,1.16740,1.16950
2023-07-05,1.16812,1.17041,1.16560,1.16980
2023-07-04,1.16241,1.16870,1.16230,1.16800
2023-07-03,1.16375,1.16528,1.16160,1.16250
2023-06-30,1.16031,1.16586,1.15990,1.16330
2023-06-29,1.15774,1.16126,1.15640,1.16010
2023-06-28,1.16292,1.16348,1.15460,1.15741
2023-06-27,1.16519,1.16683,1.16060,1.16260
2023-06-26,1.16660,1.17042,1.16310,1.16529
2023-06-23,1.16295,1.17140,1.16140,1.16680
2023-06-22,1.16189,1.16532,1.15840,1.16260
2023-06-21,1.16850,1.17277,1.16110,1.16180
2023-06-20,1.17093,1.17250,1.16490,1.16872
2023-06-19,1.17213,1.17381,1.16970,1.17100
2023-06-16,1.16730,1.17336,1.16710,1.17150
2023-06-15,1.16871,1.17031,1.16360,1.16760
2023-06-14,1.16825,1.17072,1.16760,1.16840
2023-06-13,1.16297,1.16900,1.16070,1.16868
2023-06-12,1.16984,1.17074,1.16140,1.16280
2023-06-09,1.16450,1.17070,1.16360,1.16980
2023-06-08,1.16237,1.16497,1.16050,1.16434
2023-06-07,1.16100,1.16487,1.16080,1.16238
2023-06-06,1.16023,1.16271,1.15900,1.16100
2023-06-05,1.16195,1.16257,1.15760,1.16020
2023-06-02,1.16365,1.16562,1.16160,1.16210
2023-06-01,1.16350,1.16704,1.16170,1.16360
2023-05-31,1.15636,1.16493,1.15550,1.16340
2023-05-30,1.15308,1.15886,1.15240,1.15610
2023-05-29,1.15100,1.15384,1.14960,1.15356
2023-05-26,1.14825,1.15242,1.14770,1.15070
2023-05-25,1.15001,1.15385,1.14810,1.14810
2023-05-24,1.15254,1.15605,1.14770,1.15008
2023-05-23,1.14975,1.15342,1.14660,1.15221
2023-05-22,1.15130,1.15182,1.14840,1.14960
2023-05-19,1.15145,1.15341,1.14960,1.15140
2023-05-18,1.15184,1.15317,1.14870,1.15120
2023-05-17,1.14898,1.15330,1.14630,1.15170
2023-05-16,1.15157,1.15205,1.14650,1.14870
2023-05-15,1.14697,1.15233,1.14640,1.15183
2023-05-12,1.14576,1.15024,1.14470,1.14680
2023-05-11,1.14901,1.15437,1.14450,1.14550
2023-05-10,1.15085,1.15290,1.14880,1.14902
2023-05-09,1.14611,1.15204,1.14600,1.15087
2023-05-08,1.14573,1.14684,1.14300,1.14648
2023-05-05,1.14113,1.14755,1.14010,1.14600
2023-05-04,1.13524,1.14314,1.13420,1.14120
2023-05-03,1.13314,1.13680,1.13130,1.13550
2023-05-02,1.13797,1.13841,1.13260,1.13300
2023-05-01,1.13999,1.14145,1.13660,1.13780
2023-04-28,1.13289,1.14081,1.13090,1.14020
2023-04-27,1.12874,1.13332,1.12670,1.13282
2023-04-26,1.13043,1.13152,1.12650,1.12884
2023-04-25,1.12986,1.13109,1.12630,1.13022
2023-04-24,1.13180,1.13299,1.12820,1.12980
2023-04-21,1.13370,1.13456,1.12810,1.13170
2023-04-20,1.13473,1.13556,1.13260,1.13370
2023-04-19,1.13196,1.13726,1.13100,1.13460
2023-04-18,1.13232,1.13499,1.13160,1.13216
2023-04-17,1.12913,1.13347,1.12760,1.13254
2023-04-14,1.13347,1.13377,1.12820,1.12870
2023-04-13,1.13556,1.13726,1.13100,1.13355
2023-04-12,1.13839,1.13863,1.13350,1.13530
2023-04-11,1.13949,1.14103,1.13730,1.13840
2023-04-10,1.13858,1.14094,1.13700,1.13980
2023-04-07,1.13900,1.14071,1.13710,1.13850
2023-04-06,1.14218,1.14408,1.13780,1.13914
2023-04-05,1.14060,1.14341,1.13780,1.14223
2023-04-04,1.13864,1.14542,1.13790,1.14083
2023-04-03,1.13685,1.13998,1.13530,1.13847
2023-03-31,1.13554,1.13927,1.13490,1.13730
2023-03-30,1.13532,1.13891,1.13230,1.13546
2023-03-29,1.13742,1.13875,1.13460,1.13559
2023-03-28,1.13724,1.14002,1.13500,1.13775
2023-03-27,1.13570,1.13935,1.13498,1.13730
2023-03-24,1.13439,1.13907,1.13240,1.13630
2023-03-23,1.12975,1.13434,1.12760,1.13376
2023-03-22,1.13453,1.13982,1.12900,1.12957
2023-03-21,1.14450,1.14532,1.13090,1.13421
2023-03-20,1.14180,1.14551,1.14010,1.14498
2023-03-17,1.14088,1.14331,1.13850,1.14120
2023-03-16,1.13892,1.14309,1.13350,1.14066
2023-03-15,1.13243,1.14676,1.13040,1.13900
2023-03-14,1.13558,1.13902,1.13150,1.13236
2023-03-13,1.13050,1.13640,1.12790,1.13553
2023-03-10,1.12650,1.13313,1.12440,1.13055
2023-03-09,1.12240,1.12785,1.12160,1.12657
2023-03-08,1.12070,1.12395,1.12030,1.12317
2023-03-07,1.12620,1.12894,1.12020,1.12093
2023-03-06,1.13240,1.13271,1.12480,1.12562
2023-03-03,1.12670,1.13287,1.12660,1.13220
2023-03-02,1.12750,1.12899,1.12450,1.12690
2023-03-01,1.13590,1.13782,1.12370,1.12700
2023-02-28,1.13640,1.14207,1.13450,1.13638
2023-02-27,1.13320,1.13760,1.13150,1.13683
2023-02-24,1.13340,1.13640,1.13130,1.13195
2023-02-23,1.13570,1.13705,1.13290,1.13380
2023-02-22,1.13710,1.13823,1.13310,1.13552
2023-02-21,1.12620,1.13757,1.12480,1.13722
2023-02-20,1.12500,1.12719,1.12430,1.12647
2023-02-17,1.12320,1.12680,1.11950,1.12560
2023-02-16,1.12500,1.12731,1.12200,1.12300
2023-02-15,1.13330,1.13420,1.12290,1.12540
2023-02-14,1.13140,1.13556,1.12980,1.13350
2023-02-13,1.12910,1.13317,1.12640,1.13140
2023-02-10,1.12860,1.13317,1.12660,1.12880
2023-02-09,1.12680,1.13117,1.12510,1.12839
2023-02-08,1.12260,1.12668,1.12170,1.12653
2023-02-07,1.12010,1.12371,1.11800,1.12281
2023-02-06,1.11570,1.12159,1.11470,1.12040
2023-02-03,1.12010,1.12192,1.11350,1.11610
2023-02-02,1.12570,1.12632,1.11670,1.12000
2023-02-01,1.13340,1.13406,1.12530,1.12563
2023-01-31,1.13770,1.13975,1.13200,1.13330
2023-01-30,1.14000,1.14110,1.13550,1.13799
2023-01-27,1.13880,1.14082,1.13570,1.13990
2023-01-26,1.13560,1.13977,1.13420,1.13941
2023-01-25,1.13200,1.13640,1.12940,1.13593
2023-01-24,1.13820,1.14043,1.12980,1.13304
2023-01-23,1.14070,1.14201,1.13410,1.13842
2023-01-20,1.14340,1.14399,1.13780,1.14150
2023-01-19,1.14360,1.14649,1.13790,1.14360
2023-01-18,1.13830,1.14475,1.13540,1.14320
2023-01-17,1.12680,1.13901,1.12490,1.13850
2023-01-16,1.12760,1.13021,1.12580,1.12650
2023-01-13,1.12490,1.12963,1.12350,1.12883
2023-01-12,1.12870,1.13184,1.12400,1.12511
2023-01-11,1.13220,1.13250,1.12560,1.12931
2023-01-10,1.13550,1.13587,1.13010,1.13144
2023-01-09,1.13540,1.14025,1.13310,1.13518
2023-01-06,1.13110,1.13656,1.12730,1.13550
2023-01-05,1.13650,1.13721,1.12790,1.13168
2023-01-04,1.13450,1.13835,1.13310,1.13644
2023-01-03,1.12880,1.13826,1.12800,1.13433
2023-01-02,1.12880,1.13070,1.12680,1.12930
2022-12-30,1.13040,1.13301,1.12630,1.12950
2022-12-29,1.13180,1.13325,1.12840,1.13040
2022-12-28,1.12940,1.13696,1.12820,1.13230
2022-12-27,1.13360,1.13607,1.12780,1.13030
2022-12-26,1.13570,1.13710,1.13370,1.13370
2022-12-23,1.13590,1.13824,1.13280,1.13490
2022-12-22,1.13870,1.14055,1.13170,1.13590
2022-12-21,1.14590,1.14723,1.13720,1.13910
2022-12-20,1.14540,1.14799,1.13990,1.14630
2022-12-19,1.14760,1.15049,1.14410,1.14450
2022-12-16,1.14590,1.14877,1.13970,1.14620
2022-12-15,1.16290,1.16351,1.14530,1.14550
2022-12-14,1.16270,1.16590,1.16020,1.16316
2022-12-13,1.16390,1.16775,1.16170,1.16260
2022-12-12,1.16340,1.16619,1.16080,1.16370
2022-12-09,1.15820,1.16771,1.15740,1.16445
2022-12-08,1.16060,1.16183,1.15620,1.15904
2022-12-07,1.15890,1.16276,1.15670,1.16197
2022-12-06,1.16150,1.16551,1.15810,1.15880
2022-12-05,1.16490,1.16719,1.15790,1.16199
2022-12-02,1.16390,1.16870,1.16100,1.16570
2022-12-01,1.15900,1.16980,1.15690,1.16390
2022-11-30,1.15620,1.15976,1.15430,1.15800
2022-11-29,1.15590,1.16167,1.15520,1.15640
2022-11-28,1.16260,1.16447,1.15240,1.15610
2022-11-25,1.16290,1.16563,1.16030,1.16290
2022-11-24,1.15880,1.16639,1.15760,1.16300
2022-11-23,1.15340,1.16451,1.14920,1.15910
2022-11-22,1.15390,1.15829,1.15150,1.15310
2022-11-21,1.15210,1.15470,1.14930,1.15433
2022-11-18,1.14450,1.15207,1.14380,1.15100
2022-11-17,1.14600,1.14989,1.13950,1.14431
2022-11-16,1.14550,1.14746,1.13910,1.14624
2022-11-15,1.13720,1.14786,1.13510,1.14620
2022-11-14,1.14230,1.14556,1.13310,1.13800
2022-11-11,1.14760,1.14810,1.13880,1.14270
2022-11-10,1.13470,1.14926,1.13379,1.14710
2022-11-09,1.14530,1.14726,1.13240,1.13409
2022-11-08,1.14950,1.15035,1.14320,1.14559
2022-11-07,1.14120,1.15060,1.13730,1.14888
2022-11-04,1.14450,1.14929,1.13790,1.14180
2022-11-03,1.15980,1.16160,1.14330,1.14452
2022-11-02,1.16277,1.16467,1.15840,1.15970
2022-11-01,1.16031,1.16305,1.15930,1.16243
2022-10-31,1.16410,1.16638,1.15880,1.15980
2022-10-28,1.16027,1.16645,1.15570,1.16480
2022-10-27,1.15270,1.16138,1.15060,1.16020
2022-10-26,1.15052,1.15642,1.14890,1.15240
2022-10-25,1.14194,1.15385,1.14160,1.15040
2022-10-24,1.15260,1.15425,1.14050,1.14220
2022-10-21,1.14745,1.14815,1.13860,1.14500
2022-10-20,1.14773,1.15256,1.14150,1.14759
2022-10-19,1.14816,1.15168,1.14520,1.14775
2022-10-18,1.15413,1.15742,1.14510,1.14818
2022-10-17,1.15336,1.16536,1.15080,1.15390
2022-10-14,1.15861,1.15894,1.14710,1.14960
2022-10-13,1.14312,1.16121,1.14020,1.15850
2022-10-12,1.13066,1.14539,1.12730,1.14304
2022-10-11,1.13961,1.14599,1.12820,1.13050
2022-10-10,1.13850,1.14277,1.13400,1.13910
2022-10-07,1.14036,1.14446,1.13500,1.13820
2022-10-06,1.14420,1.14685,1.13429,1.13960
2022-10-05,1.14863,1.15037,1.13910,1.14520
2022-10-04,1.15150,1.15593,1.14320,1.14850
2022-10-03,1.14160,1.15315,1.13190,1.15180
2022-09-30,1.13239,1.14228,1.12940,1.13830
2022-09-29,1.11788,1.13363,1.11310,1.13250
2022-09-28,1.11809,1.12195,1.10300,1.11780
2022-09-27,1.11150,1.12384,1.11020,1.11800
