GBP/HKD
Date,Open Price,High Price,Low Price,Close Price
2023-09-22,9.61300,9.61300,9.57600,9.57600
2023-09-21,9.65500,9.65500,9.57800,9.61300
2023-09-20,9.68900,9.71400,9.64600,9.65600
2023-09-19,9.68100,9.71000,9.66700,9.68900
2023-09-18,9.69300,9.70600,9.67200,9.68300
2023-09-15,9.71300,9.73700,9.68700,9.68800
2023-09-14,9.77100,9.78600,9.70300,9.71300
2023-09-13,9.77800,9.78600,9.73600,9.77200
2023-09-12,9.79800,9.80200,9.75400,9.77300
2023-09-11,9.77900,9.82600,9.77700,9.79800
2023-09-08,9.77600,9.80600,9.76000,9.77200
2023-09-07,9.80500,9.80500,9.75600,9.77500
2023-09-06,9.85200,9.86700,9.79100,9.80400
2023-09-05,9.89200,9.89900,9.81900,9.85300
2023-09-04,9.87600,9.90000,9.87200,9.89200
2023-09-01,9.93700,9.97000,9.86600,9.87400
2023-08-31,9.97800,9.98900,9.92100,9.93400
2023-08-30,9.92100,9.99500,9.89900,9.97900
2023-08-29,9.88900,9.92700,9.85600,9.92000
2023-08-28,9.86900,9.89000,9.85800,9.88500
2023-08-25,9.87700,9.91500,9.84300,9.86500
2023-08-24,9.97300,9.97700,9.87300,9.88000
2023-08-23,9.97600,10.00300,9.88900,9.97100
2023-08-22,9.99800,10.02700,9.97000,9.97400
2023-08-21,9.97200,10.00400,9.95800,9.99800
2023-08-18,9.97800,9.98800,9.93500,9.97100
2023-08-17,9.96800,10.00500,9.94300,9.97800
2023-08-16,9.93400,9.99200,9.92800,9.96700
2023-08-15,9.91800,9.97300,9.91200,9.93500
2023-08-14,9.92600,9.93900,9.86700,9.91900
2023-08-11,9.90900,9.95200,9.90400,9.92200
2023-08-10,9.94500,10.00800,9.90500,9.91200
2023-08-09,9.95600,9.98500,9.93900,9.94500
2023-08-08,9.97700,9.97900,9.91100,9.95700
2023-08-07,9.95800,9.98200,9.92500,9.97600
2023-08-04,9.92000,9.98700,9.90900,9.95600
2023-08-03,9.92100,9.93200,9.85400,9.92200
2023-08-02,9.97400,9.97900,9.89100,9.91600
2023-08-01,10.01000,10.01100,9.92900,9.96800
2023-07-31,10.02000,10.03600,10.00500,10.00900
2023-07-28,9.98400,10.04200,9.95400,10.01400
2023-07-27,10.09600,10.13500,9.97300,9.98400
2023-07-26,10.07700,10.10500,10.05100,10.09300
2023-07-25,10.01700,10.07800,10.00600,10.07700
2023-07-24,10.04700,10.06400,9.99900,10.01900
2023-07-21,10.05500,10.08100,10.01900,10.04600
2023-07-20,10.10100,10.12400,10.03000,10.05200
2023-07-19,10.18400,10.18700,10.05000,10.10100
2023-07-18,10.21400,10.25000,10.17800,10.18400
2023-07-17,10.23400,10.23900,10.19800,10.21400
2023-07-14,10.26900,10.27300,10.22600,10.22900
2023-07-13,10.16300,10.27500,10.15500,10.26900
2023-07-12,10.11900,10.17300,10.09900,10.16200
2023-07-11,10.06600,10.12100,10.06400,10.11800
2023-07-10,10.04400,10.06900,9.98100,10.06400
2023-07-07,9.96200,10.05600,9.95500,10.04600
2023-07-06,9.93600,9.99100,9.91200,9.96200
2023-07-05,9.95300,9.95900,9.92500,9.93300
2023-07-04,9.94100,9.97100,9.92900,9.95300
2023-07-03,9.95300,9.96100,9.91700,9.94000
2023-06-30,9.88200,9.96700,9.87200,9.94800
2023-06-29,9.89800,9.92100,9.86600,9.88200
2023-06-28,9.98500,9.98700,9.87500,9.89600
2023-06-27,9.95200,9.99200,9.94800,9.98400
2023-06-26,9.95800,9.97800,9.93500,9.95100
2023-06-23,9.97700,9.98000,9.93500,9.95500
2023-06-22,9.99300,10.02300,9.96300,9.97700
2023-06-21,9.98500,10.00500,9.93400,9.99300
2023-06-20,9.99900,10.01200,9.94700,9.98700
2023-06-19,10.03200,10.03700,9.98100,9.99900
2023-06-16,9.99700,10.04900,9.98700,10.02500
2023-06-15,9.91300,9.99700,9.88400,9.99500
2023-06-14,9.87500,9.94200,9.86700,9.91400
2023-06-13,9.80100,9.88700,9.80000,9.87600
2023-06-12,9.86000,9.86900,9.78000,9.80200
2023-06-09,9.84100,9.86700,9.82400,9.85800
2023-06-08,9.75100,9.84200,9.74500,9.83900
2023-06-07,9.74100,9.79700,9.71700,9.75200
2023-06-06,9.74300,9.76600,9.71700,9.73900
2023-06-05,9.74900,9.75300,9.69300,9.74300
2023-06-02,9.80200,9.82500,9.74900,9.75500
2023-06-01,9.73700,9.81800,9.71200,9.80400
2023-05-31,9.72100,9.74100,9.67100,9.73800
2023-05-30,9.67100,9.74500,9.65600,9.72300
2023-05-29,9.67400,9.68400,9.65600,9.67200
2023-05-26,9.65300,9.70400,9.64400,9.67000
2023-05-25,9.68000,9.70000,9.64200,9.65200
2023-05-24,9.72900,9.76100,9.67400,9.68000
2023-05-23,9.73200,9.74200,9.69200,9.72900
2023-05-22,9.72900,9.75800,9.70700,9.73300
2023-05-19,9.70900,9.74700,9.67600,9.72500
2023-05-18,9.77800,9.78000,9.69800,9.70800
2023-05-17,9.78200,9.79300,9.72700,9.77900
2023-05-16,9.81800,9.83000,9.76800,9.78200
2023-05-15,9.76000,9.82300,9.75700,9.81800
2023-05-12,9.80300,9.83000,9.75700,9.75900
2023-05-11,9.88400,9.89300,9.79300,9.80200
2023-05-10,9.89100,9.92400,9.86700,9.88300
2023-05-09,9.90100,9.91500,9.86400,9.89500
2023-05-08,9.91100,9.93800,9.89800,9.90300
2023-05-05,9.86400,9.92500,9.85900,9.91100
2023-05-04,9.86200,9.88500,9.84800,9.86500
2023-05-03,9.78600,9.86900,9.78600,9.86100
2023-05-02,9.80500,9.81900,9.76000,9.78600
2023-05-01,9.86000,9.86300,9.79500,9.80600
2023-04-28,9.80600,9.87500,9.77000,9.86200
2023-04-27,9.78700,9.81000,9.76300,9.80600
2023-04-26,9.74000,9.81700,9.73400,9.78500
2023-04-25,9.79800,9.81300,9.72300,9.73900
2023-04-24,9.76100,9.79900,9.74000,9.79700
2023-04-21,9.76500,9.76600,9.70700,9.76200
2023-04-20,9.76000,9.78200,9.73800,9.76300
2023-04-19,9.75200,9.78700,9.72600,9.75900
2023-04-18,9.71200,9.76900,9.70800,9.75100
2023-04-17,9.73900,9.76100,9.69600,9.71400
2023-04-14,9.82900,9.84600,9.73400,9.74100
2023-04-13,9.79600,9.83800,9.79400,9.82900
2023-04-12,9.75200,9.80500,9.73200,9.79700
2023-04-11,9.71800,9.77500,9.71800,9.75200
2023-04-10,9.74800,9.76400,9.69100,9.71800
2023-04-07,9.76300,9.77500,9.72700,9.74600
2023-04-06,9.78000,9.79800,9.74400,9.76300
2023-04-05,9.81000,9.81900,9.75900,9.77900
2023-04-04,9.74400,9.82400,9.72800,9.81100
2023-04-03,9.67400,9.74900,9.63400,9.74300
2023-03-31,9.72300,9.74900,9.67300,9.68000
2023-03-30,9.66500,9.72500,9.64800,9.72000
2023-03-29,9.68400,9.70000,9.65700,9.66600
2023-03-28,9.64200,9.69000,9.64000,9.68300
2023-03-27,9.60200,9.64700,9.59100,9.64100
2023-03-24,9.64400,9.64600,9.57000,9.59900
2023-03-23,9.62500,9.68500,9.62300,9.64400
2023-03-22,9.58300,9.67100,9.58100,9.62500
2023-03-21,9.62700,9.62700,9.55400,9.58300
2023-03-20,9.57600,9.63100,9.54600,9.62500
2023-03-17,9.50500,9.57300,9.49700,9.55600
2023-03-16,9.45900,9.51600,9.44100,9.50600
2023-03-15,9.53600,9.56000,9.42600,9.45900
2023-03-14,9.55700,9.56800,9.52400,9.53700
2023-03-13,9.48900,9.56600,9.45300,9.55400
2023-03-10,9.35500,9.50100,9.34700,9.44000
2023-03-09,9.29100,9.36600,9.28700,9.35800
2023-03-08,9.28800,9.30200,9.26800,9.29500
2023-03-07,9.43600,9.46800,9.28000,9.28100
2023-03-06,9.44400,9.45500,9.41500,9.43700
2023-03-03,9.37600,9.45500,9.37400,9.45200
2023-03-02,9.44400,9.44500,9.35900,9.37600
2023-03-01,9.43200,9.48500,9.39400,9.43800
2023-02-28,9.45600,9.52600,9.43100,9.43100
2023-02-27,9.38200,9.46100,9.35400,9.45900
2023-02-24,9.42500,9.44500,9.36200,9.37000
2023-02-23,9.45000,9.47000,9.40900,9.42600
2023-02-22,9.50100,9.51600,9.44300,9.44900
2023-02-21,9.43000,9.52300,9.40300,9.49800
2023-02-20,9.43400,9.44200,9.40600,9.43100
2023-02-17,9.41100,9.44900,9.35000,9.44500
2023-02-16,9.43900,9.47500,9.39400,9.40600
2023-02-15,9.55200,9.55700,9.40900,9.44300
2023-02-14,9.52500,9.61700,9.51500,9.55500
2023-02-13,9.47200,9.53500,9.44300,9.52700
2023-02-10,9.51100,9.52500,9.45500,9.46300
2023-02-09,9.47200,9.56800,9.46200,9.51000
2023-02-08,9.45200,9.50300,9.44600,9.47300
2023-02-07,9.43100,9.48800,9.38700,9.45300
2023-02-06,9.44200,9.47100,9.41800,9.43000
2023-02-03,9.58800,9.62100,9.45400,9.45700
2023-02-02,9.70200,9.71900,9.58800,9.58800
2023-02-01,9.65600,9.71400,9.62800,9.70200
2023-01-31,9.67300,9.69100,9.62400,9.65500
2023-01-30,9.70000,9.72600,9.66500,9.67500
2023-01-27,9.71200,9.72000,9.66500,9.70400
2023-01-26,9.71000,9.72800,9.66400,9.71300
2023-01-25,9.65300,9.71000,9.62000,9.70800
2023-01-24,9.69300,9.71800,9.60300,9.66100
2023-01-23,9.70600,9.74200,9.65100,9.69200
2023-01-20,9.70000,9.70900,9.65600,9.70300
2023-01-19,9.65900,9.70300,9.63900,9.70100
2023-01-18,9.60300,9.72100,9.58700,9.65900
2023-01-17,9.52600,9.61600,9.51200,9.60400
2023-01-16,9.54100,9.59400,9.50600,9.52400
2023-01-13,9.54100,9.56200,9.49000,9.55000
2023-01-12,9.48600,9.55800,9.44400,9.53400
2023-01-11,9.49100,9.50800,9.45300,9.48900
2023-01-10,9.50600,9.51800,9.45700,9.48600
2023-01-09,9.43400,9.52500,9.43300,9.50600
2023-01-06,9.30300,9.44200,9.24800,9.43700
2023-01-05,9.42500,9.44000,9.27400,9.30400
