EUR/CHF
Date,Open Price,High Price,Low Price,Close Price
2023-09-21,0.95791,0.96770,0.95596,0.96307
2023-09-20,0.95855,0.96045,0.95736,0.95786
2023-09-19,0.95882,0.95988,0.95677,0.95838
2023-09-18,0.95599,0.95930,0.95448,0.95882
2023-09-15,0.95311,0.95718,0.95228,0.95656
2023-09-14,0.95838,0.95995,0.95238,0.95306
2023-09-13,0.95885,0.95937,0.95674,0.95860
2023-09-12,0.95734,0.95906,0.95407,0.95886
2023-09-11,0.95525,0.95850,0.95464,0.95738
2023-09-08,0.95452,0.95643,0.95308,0.95505
2023-09-07,0.95557,0.95630,0.95412,0.95452
2023-09-06,0.95308,0.95751,0.95296,0.95544
2023-09-05,0.95440,0.95520,0.95164,0.95310
2023-09-04,0.95421,0.95561,0.95317,0.95448
2023-09-01,0.95741,0.95821,0.95365,0.95365
2023-08-31,0.95963,0.96024,0.95643,0.95737
2023-08-30,0.95537,0.95980,0.95446,0.95935
2023-08-29,0.95569,0.95690,0.95377,0.95553
2023-08-28,0.95440,0.95631,0.95378,0.95573
2023-08-25,0.95595,0.95692,0.95424,0.95430
2023-08-24,0.95322,0.95663,0.95180,0.95584
2023-08-23,0.95467,0.95556,0.95114,0.95365
2023-08-22,0.95713,0.95917,0.95346,0.95442
2023-08-21,0.95875,0.96013,0.95637,0.95678
2023-08-18,0.95474,0.95980,0.95372,0.95836
2023-08-17,0.95730,0.95770,0.95367,0.95486
2023-08-16,0.95738,0.96110,0.95620,0.95730
2023-08-15,0.95762,0.95960,0.95632,0.95742
2023-08-14,0.95944,0.96129,0.95708,0.95763
2023-08-11,0.96253,0.96483,0.95872,0.95944
2023-08-10,0.96231,0.96372,0.96107,0.96182
2023-08-09,0.95885,0.96322,0.95802,0.96223
2023-08-08,0.96027,0.96090,0.95804,0.95902
2023-08-07,0.96061,0.96280,0.95983,0.96028
2023-08-04,0.95722,0.96233,0.95652,0.96048
2023-08-03,0.95982,0.96123,0.95598,0.95719
2023-08-02,0.96042,0.96494,0.95812,0.95980
2023-08-01,0.95821,0.96240,0.95747,0.96040
2023-07-31,0.95803,0.96226,0.95500,0.95753
2023-07-28,0.95380,0.95930,0.95217,0.95843
2023-07-27,0.95393,0.95561,0.95183,0.95380
2023-07-26,0.95480,0.95611,0.95316,0.95394
2023-07-25,0.96185,0.96310,0.95424,0.95510
2023-07-24,0.96309,0.96462,0.95835,0.96193
2023-07-21,0.96452,0.96510,0.96148,0.96279
2023-07-20,0.96168,0.96596,0.95999,0.96410
2023-07-19,0.96295,0.96500,0.96064,0.96168
2023-07-18,0.96670,0.96723,0.96214,0.96294
